install_date,player_id,country,device_brand,is_organic,var_01,var_02,var_03,var_04,var_05,var_06,var_07,var_08,var_09,var_10,var_11,var_12,var_13,var_14,var_15,var_16,var_17,var_18,var_19,var_20,var_21,var_22,var_23,var_24,var_25,var_26,var_27,var_28,var_29,var_30,var_31,var_32,var_33,var_34,var_35,var_36,var_37,var_38,var_39,var_40,var_41,var_42,revenue_d30
16/10/22,pl00d28f7440,San Marino,Xiaomi,0,10,143,143,1,4,11,9,244,330.6384455,7,1,12,1326,4,9,8,68,NA,50,39,122,108,781,NA,13,78,2,62,6,11,29414,11,130,52538,25,18,1,5529,11870,48,0,322,0.99
24/10/22,pl005217cd7b,India,NA,0,12,8,20,2,4,7,NA,285,343.8322193,16,3,2,NA,5,10,6,55,NA,NA,1,67,12,162,NA,6,63,1,3,9,14,4206,5,3,6415,12,9,4,2814,4410,3,0,41,0
03/10/22,pl0024487950,Saudi Arabia,NA,0,10,1,18,NA,3,9,NA,240,392.3931133,2,0,NA,NA,5,10,3,55,NA,NA,1,71,NA,83,NA,9,2,NA,1,6,12,18133,20,28,26064,18,7,1,2478,4410,3,0,144,0
29/10/22,pl0077169a5c,Turkey,samsung,0,12,11,19,1,2,6,NA,17,315.9488575,0,5,NA,522,2,3,5,20,2,2,6,65,1,30,NA,5,47,1,12,4,8,8600,4,66,12590,14,56,1,2688,3460,18,0,1082,31.84
26/10/22,pl00153e4270,India,samsung,1,10,NA,NA,NA,NA,NA,NA,NA,99.16393443,19,3,NA,11,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,1,2,2757,6,81,9353,10,10,4,2461,9353,77,0,2,0
23/10/22,pl00bac907d7,Colombia,Xiaomi,0,10,1,3,1,4,9,NA,21,484.234375,3,6,1,200,4,8,9,44,NA,NA,NA,47,NA,97,NA,16,37,2,5,6,11,7826,5,69,15830,14,12,1,4429,12250,29,0,451,0
17/10/22,pl008753345f,India,Nothing,0,12,54,46,1,3,3,5,112,196.1092025,18,2,3,1087,3,5,7,30,4,15,12,71,6,155,NA,9,71,1,26,4,10,18930,4,239,28235,20,52,4,3202,1880,7,0,3,0
04/10/22,pl0087d68440,Germany,samsung,0,12,16,27,1,5,12,6,194,882.0762125,1,6,3,55,6,13,13,75,NA,10,12,70,4,232,NA,NA,1,2,15,7,14,8169,9,26,15661,16,13,4,5221,12055,3,0,377,0
16/10/22,pl0067a02fbf,United States,samsung,0,10,15,12,NA,3,7,NA,34,369.6107492,12,6,NA,200,2,9,9,11,6,NA,NA,46,9,195,11,6,4,2,2,6,12,21759,6,186,31922,18,16,1,15130,22506,177,0,94,0
05/10/22,pl0096dc4ff7,Mexico,motorola,1,12,3,4,1,1,NA,NA,3,435.9557522,7,3,NA,136,3,5,12,14,NA,NA,1,60,NA,NA,NA,1,3,3,1,7,14,5702,5,53,4537,11,9,3,3612,4225,47,0,232,0
07/10/22,pl00f11c17b3,Vietnam,vivo,0,12,62,67,1,4,10,2,107,132.7473874,15,4,1,2394,5,11,11,82,NA,NA,1,173,NA,NA,4,29,88,3,13,7,13,6259,6,30,14180,14,7,1,2025,4410,10,0,100,0
26/10/22,pl005e37a11a,India,samsung,1,12,12,10,1,3,8,NA,78,379.6511194,9,1,4,91,4,8,9,53,NA,NA,1,60,55,259,6,17,2,1,13,5,10,7979,7,126,14525,14,11,6,5606,7895,61,0,54,0
06/10/22,pl00992eeec4,Pakistan,vivo,0,12,32,47,1,5,10,6,196,292.9707447,21,1,5,464,5,10,11,72,NA,9,1,82,1,324,2,15,88,3,21,6,12,5410,10,13,27885,38,37,6,2172,2000,0,0,244,2.97
05/10/22,pl006a3587c4,Greece,Xiaomi,0,12,72,57,4,4,6,NA,99,272.6627374,12,0,1,1067,3,11,11,18,2,28,24,114,34,267,NA,2,6,3,25,7,13,9404,4,24,17990,41,41,1,6295,11450,0,0,1092,0
26/10/22,pl00e44c475e,United States,NA,0,8,13,16,1,1,4,NA,29,923.8804348,9,1,NA,12,1,7,7,2,NA,NA,1,30,NA,129,4,5,1,2,2,4,9,7766,4,40,10390,13,12,2,5924,9160,39,0,1785,0
21/10/22,pl00eb9a55ac,India,Xiaomi,1,12,143,73,3,3,7,7,287,566.8273639,22,0,6,364,5,7,8,47,2,56,45,64,113,376,3,9,3,3,30,6,13,9813,8,105,11710,17,10,2,2918,8100,61,0,172,0
06/10/22,pl0084f4204b,Australia,Fairphone,1,10,9,7,1,1,8,1,125,786.4663677,1,5,2,19,3,9,12,9,NA,4,1,51,NA,35,NA,17,14,2,1,7,11,2785,3,31,11620,11,11,3,2785,10020,28,0,718,0
22/10/22,pl00a0fecfec,United States,samsung,0,12,75,37,1,4,9,6,42,468.9657854,7,4,4,94,3,9,4,40,NA,29,12,18,13,199,NA,13,3,1,11,5,10,3107,3,5,9612,51,51,2,2732,2540,1,0,434,108.78
26/10/22,pl0006eabb05,Philippines,samsung,0,12,27,30,1,3,7,NA,136,497.5662483,21,5,1,177,4,7,9,47,NA,6,8,52,NA,80,NA,NA,59,NA,14,6,10,NA,NA,NA,NA,NA,10,1,2240,6120,34,0,284,0
23/10/22,pl0026caa32f,Philippines,vivo,0,12,3,16,1,2,9,NA,16,115.4493101,22,1,NA,762,3,10,8,23,1,NA,1,61,NA,61,3,21,8,2,1,7,12,16553,13,326,35653,20,18,7,7806,17610,212,0,132,2.97
31/10/22,pl00ee9f50a9,Brunei,samsung,0,10,71,43,NA,2,5,5,177,187.4452986,22,2,14,439,4,7,6,27,1,29,25,44,27,251,2,10,2,2,42,5,10,3062,2,47,10966,11,11,2,3062,10806,47,0,307,0
17/10/22,pl00986e18b2,Vietnam,LGE,1,12,2,2,1,2,6,NA,15,134.8060069,2,3,NA,646,2,6,4,35,1,1,NA,51,NA,58,NA,6,16,1,11,6,12,12302,18,65,18739,17,4,5,913,2080,0,0,194,0
03/10/22,pl004ea7d069,Hong Kong,samsung,1,10,22,20,NA,3,3,4,75,163.1287797,5,3,2,655,3,6,4,44,NA,6,9,91,NA,188,NA,NA,90,1,7,5,9,14504,32,3,13732,13,NA,NA,NA,NA,NA,NA,622,0
22/10/22,pl009e9fb969,Bulgaria,samsung,0,12,78,42,1,3,8,NA,173,551.8502618,18,3,1,493,4,8,8,65,NA,NA,1,84,NA,242,3,8,73,3,15,5,10,18425,11,325,41163,23,13,6,5015,12120,39,0,180,0
29/10/22,pl00acf00381,Bangladesh,Xiaomi,0,12,17,18,2,2,5,1,78,356.679558,19,5,4,164,3,8,9,12,14,NA,2,42,11,205,1,6,5,2,11,4,9,15425,10,106,28787,20,9,2,3117,4630,0,0,96,0
15/10/22,pl00f84eeb8f,Philippines,Xiaomi,0,12,169,61,2,3,6,4,130,295.3699331,18,5,13,689,3,6,6,57,NA,27,29,82,119,442,NA,16,79,NA,72,6,12,18567,17,135,32647,22,13,2,6308,10508,69,0,501,0
28/10/22,pl0014bc6fe4,Romania,LENOVO,1,10,52,59,1,3,6,1,81,520.8636364,16,1,2,NA,4,7,7,53,NA,4,2,54,25,294,8,11,59,2,6,5,10,4580,5,68,11359,11,9,4,2943,9892,38,0,1420,0
26/10/22,pl00d8def34e,Indonesia,Realme,1,12,10,7,1,2,7,NA,90,431.2281421,2,2,1,344,4,7,7,35,NA,1,1,58,11,121,2,1,44,2,1,5,10,8847,7,197,20479,16,13,5,5880,12679,114,0,990,0
26/10/22,pl00503a6889,United States,samsung,0,10,27,25,1,1,2,NA,87,550.2212121,19,0,NA,368,2,5,9,53,2,1,NA,98,NA,47,3,2,1,1,6,6,11,9656,6,119,15000,13,10,1,5508,4720,33,0,1976,0
20/10/22,pl00ed44ca81,Turkey,samsung,1,10,22,22,1,3,6,1,96,631.5064378,10,0,NA,32,5,7,10,33,NA,8,3,53,NA,258,1,8,1,3,8,6,10,6609,7,12,19340,13,10,3,2923,9840,7,0,780,0
29/10/22,pl00925cc88f,United Kingdom,samsung,1,12,34,33,1,3,9,1,177,201.476032,19,1,6,1067,4,9,8,33,NA,1,1,120,NA,36,NA,18,1,2,21,5,11,10659,7,220,22310,19,12,1,3667,10580,89,0,910,0
25/10/22,pl00d3c7d1d1,Indonesia,OPPO,0,10,4,2,1,3,2,NA,9,289.692517,21,5,1,85,2,2,2,12,1,NA,1,24,2,85,NA,NA,1,NA,4,4,7,2014,5,13,30780,53,53,1,75,0,0,0,6,2.98
20/10/22,pl009f93c937,United States,motorola,0,12,15,22,1,4,9,3,91,457.4638889,11,5,6,284,5,10,8,62,NA,5,7,77,8,392,NA,18,13,3,14,6,11,9477,9,108,18350,16,16,6,6694,18230,100,1.99,1,13.96
28/10/22,pl005943b4eb,Indonesia,Xiaomi,1,12,43,24,1,3,7,NA,85,578.8309278,16,6,2,109,4,8,7,34,NA,NA,1,59,13,398,NA,2,14,2,9,5,10,7927,6,141,14890,14,10,2,3879,5230,55,0,165,0
29/10/22,pl0023104631,Ukraine,NA,0,8,25,13,1,NA,2,4,45,230.172399,3,2,6,887,2,1,1,20,NA,5,5,71,14,183,2,17,28,2,12,4,10,5381,6,5,5274,66,64,4,2849,80,1,0,584,0
30/10/22,pl001fb48a7a,Jamaica,samsung,0,10,16,15,1,4,6,NA,51,141.9110306,12,6,8,1486,3,8,8,53,NA,1,NA,124,116,456,6,13,65,1,25,5,10,28066,19,351,58106,25,15,4,8775,20507,157,0,160,0
08/10/22,pl002e77a3fb,Germany,LENOVO,1,12,1,1,NA,NA,NA,NA,25,396.4894737,11,2,NA,3,NA,NA,12,58,NA,NA,1,83,NA,NA,NA,20,29,3,13,7,13,3910,11,63,10834,14,2,2,213,80,0,0,209,0
13/10/22,pl008cd111ef,Canada,samsung,0,12,37,28,1,4,8,NA,60,701.9587156,18,0,NA,16,5,9,9,5,NA,NA,1,49,6,147,NA,2,5,3,6,6,11,2349,4,48,4690,9,NA,NA,NA,NA,NA,NA,1066,0
24/10/22,pl00c88c2e17,Indonesia,NA,0,8,5,9,3,1,2,4,110,413.0585458,4,0,5,389,1,3,9,54,NA,1,2,70,NA,NA,NA,10,67,1,16,6,12,4481,4,0,7610,15,13,1,1544,640,0,0,617,0
06/10/22,pl00a509c1cf,Philippines,samsung,0,12,34,24,NA,4,8,NA,135,314.0155682,1,0,1,809,5,8,7,46,NA,11,1,75,NA,192,NA,11,1,1,13,6,11,4535,3,0,26200,48,48,1,1714,26200,0,0,65,3.96
30/10/22,pl002b62d513,Philippines,realme,0,10,58,35,1,5,9,NA,134,310.2063745,13,0,2,527,4,9,8,49,64,22,7,73,231,408,1,2,10,2,13,5,10,22651,17,30,31460,30,28,7,12192,15790,0,0,300,0.99
31/10/22,pl0014a22a8f,Germany,samsung,0,10,16,27,1,3,5,2,42,293.2832618,15,4,2,138,4,7,7,23,NA,11,7,75,2,216,2,19,5,1,20,5,10,2716,4,45,1750,41,41,4,2716,1750,45,2.99,146,84.81
08/10/22,pl000581988f,Egypt,NA,0,12,28,46,1,6,8,NA,198,302.2077825,21,4,NA,1954,4,8,11,70,1,13,17,98,170,663,3,3,86,1,20,7,12,8689,4,15,84205,56,55,2,3087,3065,15,0,213,0
11/10/22,pl00e1f09e64,Philippines,OPPO,1,10,56,61,2,4,10,2,206,260.9202614,5,4,3,1970,5,7,9,61,2,13,4,124,44,511,6,34,43,3,23,7,11,13655,19,3,7501,52,52,8,5245,4421,3,0,138,2.97
02/10/22,pl00055da5de,Canada,LENOVO,1,12,239,68,NA,4,8,18,198,275.5094676,17,2,18,2672,4,10,14,76,1,103,87,154,100,325,2,6,93,3,93,6,12,NA,NA,NA,NA,NA,17,1,9711,22417,155,0,460,0
28/10/22,pl009a13f59a,Australia,samsung,0,12,188,172,NA,NA,NA,NA,345,452.1470991,9,0,25,1221,NA,NA,5,55,NA,67,70,74,47,290,NA,28,67,NA,198,5,10,30495,13,291,39770,24,19,6,16446,24580,181,0,175,0
03/10/22,pl00b9a8f6b8,Egypt,realme,1,10,55,27,3,5,11,1,113,332.7924298,14,5,6,291,5,11,13,83,1,10,1,93,8,572,NA,16,92,3,20,7,15,9743,16,219,34844,19,13,2,3939,13747,116,0,6,0
01/10/22,pl00fc75fd67,India,OPPO,1,10,8,12,NA,2,4,NA,28,243.0514706,7,5,NA,310,2,6,7,1,NA,9,NA,33,3,74,5,NA,7,NA,4,5,11,NA,NA,NA,NA,NA,16,1,13123,18095,2,0,1975,0
25/10/22,pl002d79bc5f,France,Xiaomi,1,12,105,27,1,2,5,1,104,386.673913,16,0,2,1009,3,5,5,62,27,25,1,67,423,653,NA,15,69,2,25,6,10,16442,9,141,26630,19,16,4,10665,18990,101,0,452,0
16/10/22,pl00723e2b68,Germany,samsung,0,10,75,59,2,5,11,16,325,234.3527349,6,0,16,1444,5,11,11,72,41,31,26,115,638,776,10,24,78,3,48,6,12,16654,25,6,27260,36,35,9,6841,20270,0,0,57,0
02/10/22,pl008b115a9e,United States,samsung,0,12,27,15,1,5,11,NA,197,317.1952278,19,1,2,1115,6,11,5,67,NA,8,1,119,30,699,2,13,38,2,4,7,14,4054,6,138,370,58,58,3,2233,100,76,4.99,205,95.75
13/10/22,pl007a90fff2,United States,OnePlus,1,10,52,41,1,5,10,NA,139,745.5028011,4,3,NA,266,5,11,10,54,NA,7,1,90,47,344,1,NA,13,3,20,4,9,5693,5,16,17440,14,11,3,4773,8850,13,0,12,0
10/10/22,pl002995e763,Thailand,vivo,0,10,2,5,1,4,9,NA,84,119.7732962,2,5,1,961,6,10,11,36,NA,NA,1,126,1,302,NA,23,1,1,2,7,13,5921,16,75,13690,12,5,1,687,2080,20,0,687,0
01/10/22,pl00858a7637,United States,samsung,0,12,43,46,2,5,11,3,112,544.6024096,17,3,10,119,5,11,11,32,1,12,38,108,39,485,1,29,7,2,18,7,14,24122,14,340,46285,23,14,4,7610,12340,63,4.99,10,77.76
31/10/22,pl006190879,Brazil,NA,0,10,8,22,NA,3,8,NA,95,364.9215292,1,0,NA,555,3,7,7,34,4,2,4,88,44,367,NA,2,7,NA,3,5,10,13506,3,122,28969,18,6,2,2076,2160,5,0,1430,0.99
29/10/22,pl001804abeb,India,Xiaomi,0,10,135,77,1,3,6,10,250,339.1061604,13,2,11,1508,3,7,8,25,3,77,67,92,201,553,1,6,6,1,51,3,8,10943,4,0,24998,17,16,3,9575,17098,0,0,224,0
04/10/22,pl0007ba9b4b,United States,samsung,0,10,2,5,NA,NA,NA,NA,39,632.7317073,20,2,NA,1,NA,NA,13,2,NA,NA,1,4,NA,38,NA,5,3,2,1,7,14,14755,10,211,40794,20,17,6,6896,19548,157,0,1363,0
29/10/22,pl00b792060a,Philippines,samsung,0,12,46,37,NA,NA,NA,NA,178,561.877724,16,2,NA,227,NA,NA,5,34,NA,17,15,58,NA,NA,NA,9,11,1,15,5,10,30700,17,258,67890,29,NA,NA,NA,NA,NA,NA,3172,4.98
27/10/22,pl00456895f3,United Kingdom,HUAWEI,0,10,78,60,NA,3,5,NA,195,630.9803279,11,6,7,341,3,8,9,47,1,16,15,66,61,188,5,15,58,2,33,5,10,18016,15,173,23249,18,13,2,8565,11665,92,0,1128,0
22/10/22,pl00b5ee2279,Indonesia,vivo,0,10,59,20,3,4,10,NA,187,433.357406,10,1,6,664,4,9,10,57,17,19,8,76,411,1374,12,32,46,2,45,6,12,17173,15,109,28640,18,NA,NA,NA,NA,NA,NA,438,6.93
25/10/22,pl00021e6cba,Philippines,Xiaomi,0,12,91,83,2,4,8,NA,394,395.5851491,2,1,NA,815,5,9,9,53,5,42,24,76,145,506,NA,21,53,2,21,6,10,33079,16,276,42450,25,18,10,13814,19620,146,0,580,4.95
26/10/22,pl000d631c68,Israel,samsung,0,12,55,31,NA,1,3,NA,41,235.5988609,17,6,2,1011,3,5,4,49,1,19,4,93,NA,85,4,15,68,1,22,5,8,3634,6,83,7710,10,5,1,1205,2080,9,0,610,0
02/10/22,pl004a7972c9,India,samsung,0,10,27,27,NA,5,10,5,126,519.54791,12,0,8,533,5,11,5,54,NA,3,NA,66,44,277,NA,25,25,2,23,5,12,4422,9,0,6611,68,68,3,1905,2999,0,0,659,0
25/10/22,pl00752f1605,India,samsung,0,10,47,48,1,4,8,1,114,255.5548932,11,1,4,699,4,9,9,38,2,9,13,81,4,39,NA,4,28,2,13,6,11,11556,17,124,12800,16,8,7,3224,4690,9,0,519,0
29/10/22,pl00dd274639,France,Xiaomi,1,10,21,9,1,3,7,1,52,323.5400193,18,3,NA,453,4,7,9,45,1,5,5,40,132,496,NA,9,16,2,3,5,10,14037,8,3,16817,16,8,3,3099,4760,3,0,186,0
04/10/22,pl003a8ba6d3,United States,samsung,1,10,45,19,NA,4,9,NA,144,288.1887655,11,3,6,1560,3,11,4,62,NA,18,1,83,46,116,NA,NA,91,1,40,6,12,44000,17,378,86991,31,NA,NA,NA,NA,NA,NA,98,0
30/10/22,pl003d211ad9,India,NA,0,12,76,32,6,3,9,3,92,287.3685832,14,6,3,235,4,7,8,49,44,52,12,67,542,881,NA,12,8,2,19,6,12,1005,6,0,5782,56,56,3,417,740,0,0,141,0
17/10/22,pl0007234c28,Indonesia,Xiaomi,0,12,29,25,1,4,7,2,89,253.2243697,18,1,5,530,4,9,11,41,NA,9,4,74,78,274,NA,24,33,3,11,5,10,1668,2,7,4370,8,1,1,31,0,0,0,31,18.93
18/10/22,pl0027bfe282,United States,samsung,0,10,51,39,NA,4,10,NA,82,603.6514286,3,2,NA,52,3,9,10,7,NA,2,1,49,6,81,NA,NA,1,3,11,6,12,NA,NA,NA,NA,NA,10,1,2696,11250,24,0,158,0
11/10/22,pl00ca92c9b9,Philippines,vivo,0,10,81,71,NA,5,8,NA,244,296.9025245,14,1,NA,1130,5,10,8,38,NA,NA,1,121,NA,224,2,12,10,3,13,9,15,617,2,0,80,3,3,2,617,80,0,0,292,0
01/10/22,pl0053b0b9c0,Germany,samsung,0,12,110,58,1,5,9,2,139,560.9256281,13,2,2,274,6,11,10,69,1,35,12,98,1059,508,4,2,50,1,14,6,13,19232,7,203,27045,18,13,3,11282,10410,115,0,31,0
09/10/22,pl005d60f797,Philippines,samsung,1,10,2,9,2,3,9,1,94,277.7776,18,5,NA,261,3,7,4,54,NA,4,NA,52,NA,205,NA,4,86,3,2,9,14,12819,12,3,30530,19,16,6,9538,22330,3,0,92,0
21/10/22,pl00ebc2f782,Indonesia,NA,0,9,70,5,1,3,8,6,1,272.3111308,23,6,7,2493,4,7,6,45,53,31,37,75,120,484,1,NA,123,2,26,6,10,15588,17,37,8576,80,79,5,2385,1550,30,0,251,0
28/10/22,pl001d3c9ec2,India,NA,0,8,1,15,NA,2,2,1,46,227.9257951,18,4,3,256,5,5,2,5,NA,1,7,41,NA,178,NA,5,1,1,1,6,12,8095,9,48,64510,59,59,5,6070,46170,47,0,763,0
26/10/22,pl00b0fdb6e7,Iran,samsung,1,12,33,12,NA,2,6,2,62,294.0364431,17,6,4,124,3,6,9,35,NA,7,2,55,14,124,1,6,4,1,14,4,8,1866,4,0,0,15,15,2,75,0,0,0,49,0
29/10/22,pl0065457136,Albania,NA,0,12,11,14,NA,2,8,2,137,507.0827479,21,6,4,252,2,7,6,38,NA,8,4,48,5,188,1,1,6,2,10,5,9,8057,2,183,16042,15,13,1,6406,10542,115,0,755,0
27/10/22,pl00934a1eeb,Turkey,Xiaomi,0,10,68,55,1,3,7,NA,187,283.2336957,6,6,NA,236,3,9,6,50,NA,1,7,70,NA,157,2,17,17,2,17,5,10,11268,7,264,39360,21,18,3,7238,25570,212,0,841,52.88
25/10/22,pl0067edcafd,Indonesia,vivo,1,12,55,30,NA,8,4,3,142,639.4005642,11,0,5,278,2,6,5,19,NA,16,11,40,23,195,1,NA,7,NA,13,3,8,19943,18,42,35913,42,41,4,12677,2058,0,0,1784,0
06/10/22,pl0067a0311b,Indonesia,vivo,1,10,45,27,2,5,11,NA,94,424.0454545,12,6,NA,152,4,9,13,75,29,8,1,89,77,317,2,NA,83,3,10,7,13,8005,6,32,20170,16,10,3,3393,5592,0,0,137,0
07/10/22,pl00c7b16e94,India,OPPO,0,10,NA,NA,NA,NA,NA,NA,NA,233.7142857,12,5,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,2,2,1069,2,13,2160,6,4,1,654,2080,7,0,654,0
26/10/22,pl00baced8a5,Philippines,OPPO,0,12,3,3,NA,NA,NA,NA,14,215.0635135,15,4,1,762,NA,NA,7,41,NA,NA,1,77,NA,2,NA,NA,2,1,2,6,11,10672,9,187,20509,17,16,6,8291,19494,185,0,989,0.99
15/10/22,pl00e497ff5b,Philippines,INFINIX MOBILITY LIMITED,0,12,80,41,1,5,10,NA,137,298.1872605,3,6,8,1424,5,11,7,66,NA,25,17,97,4,290,2,14,39,2,39,6,12,17272,5,154,31816,19,NA,NA,NA,NA,NA,NA,45,0
01/10/22,pl007f60541d,Thailand,OPPO,1,12,NA,1,NA,NA,NA,1,54,183.614133,1,1,NA,427,NA,NA,1,42,NA,NA,NA,42,NA,NA,NA,NA,93,3,NA,3,7,NA,NA,NA,NA,NA,11,8,3596,5910,0,0,118,0
29/10/22,pl00fde5ad8c,Malaysia,Xiaomi,0,12,5,5,1,4,6,NA,24,274.5159755,7,5,1,626,2,5,2,36,NA,1,3,65,NA,16,NA,2,1,NA,3,5,10,1960,4,6,2370,52,52,2,1371,1370,2,0,1066,2.97
14/10/22,pl003384c890,India,samsung,0,12,10,24,1,4,9,NA,198,306.6842105,3,2,3,500,5,11,8,75,1,1,1,88,4,228,NA,15,81,3,7,6,12,6794,2,94,17214,16,16,2,6794,17214,94,0,353,2.97
04/10/22,pl00d8f2a423,Philippines,NA,0,8,33,26,NA,5,6,NA,41,270.2590234,3,6,NA,457,5,11,10,31,NA,7,NA,62,NA,156,NA,NA,1,3,12,7,14,NA,NA,NA,NA,NA,34,5,8593,19158,44,0,18,0
28/10/22,pl00d06c1b1d,Philippines,NA,0,12,31,34,NA,3,8,1,253,374.3090246,3,0,2,721,3,9,8,62,NA,3,2,72,6,176,NA,21,67,1,6,6,11,5784,3,79,9117,41,41,2,5167,6400,70,0,125,0
29/10/22,pl008fbec0a4,India,NA,0,8,6,NA,NA,1,1,NA,25,246.6724138,6,0,NA,73,2,3,1,7,NA,NA,NA,19,1,21,NA,1,1,2,3,4,7,10929,12,72,32675,45,45,3,6181,9345,45,0,587,0
05/10/22,pl00b94c67a4,India,OnePlus,1,10,28,8,1,5,8,7,274,228.4822557,18,5,2,546,6,10,4,34,NA,10,3,73,110,339,NA,6,14,1,13,6,13,9550,9,0,12046,59,58,1,1163,1235,0,0,530,0
